Chemical,CAS No.,"Pos ""/""",CAS No. cleaned,"Number ""-""","Chem
Agora
Link","Che
LIST",CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,Ames Overall ,,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro MLA Overall ,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro MN Overall ,CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro CA Overall ,+,-,,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo MN Overall ,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo CA Overall,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo UDS Overall," Kirkland et al 2005 & 2011 [1, 2]*",EFSA,ECHA,SCCS,ISSTox,Literature & Notes,transgenic Overall," Kirkland et al 2005 & 2011 [1, 2]*",CosE,SCCS,EFSA,GSK,ECHA,Literature & Notes,in vivo DNA damage Overall,+,-,,CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,CARC Overall ,, (a)
Coumarin,91-64-5,0,91-64-5,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,-,,,,,,,,,,-,,,,+,+,,,,,,,,,+,1,1,,,-,-,,,,,,,,,-,,,,,,,,,,,,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,+,+,,,,,,,,,+,,
m-Cresidine,102-50-1,0,102-50-1,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
p-Cresidine,120-71-8,0,120-71-8,2,»,»,-,+ H. S9,+,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,+,-,,E,+,,,,,,,,,E,0,0,,-,-,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,+,,,,,,,+,2,1,,2B,(+) Rats & Mice,,+,+,,,,,,,,,+,,
Crotonaldehyde,123-73-9,0,123-73-9,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,+,1,0,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,+,,,,,,,,,,+,,
Cupferron,135-20-6,0,135-20-6,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
"6-[p-(N-β-Cyanoethyl-N-methylamino)phenyl-
azo]benzthiazol",92887-88-2,0,92887-88-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
(E)-3-Cyano-4'-nitrostilbene,159394-71-5,0,159394-71-5,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
(E)-4-Cyano-4'-nitrostilbene,74518-94-8,0,74518-94-8,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
(Z)-3-Cyano-4'-nitrostilbene,159394-72-6,0,159394-72-6,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
(Z)-4-Cyano-4'-nitrostilbene,159394-73-7,0,159394-73-7,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Cysteamine hydrochloride,156-57-0,0,156-57-0,2,»,»,,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Cytosine arabinoside (free base and HCl salt),147-94-4/  69-74-9,9,147-94-4,2,»,»,,,,E,E,,,,,,,,"NTP: E call based on S. typhimurium TA100, TA102, TA104 strains",E,,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,+,,,,,,,,,+,3,0,,,,+,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,
"Cyclopenta[c,d]pyrene",27208-37-3,0,27208-37-3,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Cyclophosphamide (free base and monohydrate),50-18-0/ 6055-19-2,8,50-18-0,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,+,,,,,,,,,+,3,0,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,+,2,0,,,,,S-7,,,,,,,,,+ [165],+,,
Cytembena,21739-91-3,0,21739-91-3,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,,+,,,,,,,,+ [134],+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,+,,,,,,,,,+,,
Dacarbazine,4342-03-4,0,4342-03-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,,,,,,,,,,+,,
D&C Red 9,5160-02-1,0,5160-02-1,2,»,»,,,,+,+,,,,,,,,,+,,,U,-,,,,,,,,,I,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,+,,,,,,,,,,+,,,,,,,,,,,,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,1,1,,,,,+,+,,,,,,,,,+,,
D&C Yellow 11 (AKA C.I. Solvent Yellow 33),8003-22-3,0,8003-22-3,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,+,+,,,,,,,,,+,1,0,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,TR-463,+,,,,,,,,,+,,
Danthron,117-10-2,0,117-10-2,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,+,,,,,,,,,,+,,
Daunomycin/ Daunorubicin,20830-81-3,0,20830-81-3,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,+,,,,,,,,,"+ [185, 186]",+,,
"N,N'-Diacetylbenzidine",613-35-4,0,613-35-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,+,2,0,,,,,+,,,,,,,,,+ [187],+,,
Diallate,2303-16-4,0,2303-16-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Diallylnitrosamine,16338-97-9,0,16338-97-9,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
"2,4-Diaminoanisole (free base and sulphate)",615-05-4/ 39156-41-7,9,615-05-4,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
"3,3'-Diaminobenzidine",91-95-2,0,91-95-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"2,7-Diaminofluorene",525-64-4,0,525-64-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"4,4'-Diaminostilbene",621-96-5,0,621-96-5,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"4,4''-Diaminoterphenyl ",3365-85-3,0,3365-85-3,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,E,,,,,,,,,,E,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"4,6-Diamino-2-(5-nitro-2-furyl)-s-triazine",720-69-4,0,720-69-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
"2,4-Diaminophenol 2HCl",137-09-7,0,137-09-7,2,»,»,,,,+,+,,,,,,,,,+,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
"2,4-Diaminophenoxyethanol HCl - COLIPA A42",66422-95-5,0,66422-95-5,2,»,»,,,,,,,+,+,,,,,+ [32],+,,,,,,E Hprt,- Hprt,,,,,,E Hprt,,,,,+,+,,,,,,+,,,,,,,+,+,,,,,,+,2,0,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,-,-,,,,,- [32],-,,,,,,,,,,,,,,,,0,2,,,,,,,,E, (-) Rats & Mice,,,,,"Non-carcinogeniciy in mice but no conclusion in rats, due to lack of historical control data",I,,
"2,4-Diaminotoluene (free base and 2HCl salt)",95-80-7/  636-23-7,8,95-80-7,2,»,»,-,+,+,+,+,,,,,,,,,+,,weak + Tk; - Hprt,+,,,,,,,,,weak + [109],+,,,,,,,,,,,,,+,+,+,+,+,,,,,,,,,+,2,0,,,-/E,-,,,,,,,,(-) BM-MN for NTP: free base cas no. 95-80-7,-,,,,,,,,,,,,,,+,,,,,,,,,,+,+,,,,,,+,+,,,,,,,+,3,1,,2B,(+) Rats & Mice,,+,+,,,,,,,,,+,,
"2,5-Diaminotoluene COLIPA A005 (free base and sulphate salts)",95-70-5/ 615-50-9 (sulfate 1:1)/ 6369-59-1 (sulfate 1:x),8,95-70-5,2,»,»,,,,+,+,,+,+,,,,,+ [33],+,,,U,+,,-,-,,,,,"-[33] Reasonably robust GLP study, but not high enough toxicity with S9",I,,,,,,,,,,,,,,,,+,+,,+,+,,,,,,+,1,0,,,-,,,-,-,,,,,(-) in vivo MN but positive comet (rats); in NTP tested the sulphate,-,,,,,,,,,,,,,,,,,-,-,,,,,,-,,,,,,,,(-) Mice;        (+) Rats,(+) stomach only,,,,," + [164] Negative call based on questionable relevance of stomach only +ve at a single, unusual timepoint, and no histology. Could be due to irritation.",-,0,3,,,,,-,-,,I,I,,,,,"NTP tested the sulphate salt; Positive only in rat stomach (not a target tissue), all other tissues in the Comet, as well as other in vivo studies were negative (UDS, micronucleus, mouse spot test)",-,,
"2,6-Diaminotoluene (free base and 2HCl salt)",823-40-5/ 15481-70-6,9,823-40-5,2,»,»,,,,+,+,,,,,,,,,+,,,U,+,,,,,,,,,I,,+,,,,,,,,,,+,,,,+,+,,,,,,,,,+,2,0,,,E,+,,,,,,,,,+,,-,,,,,,,,,,-,,E,,,,,,,,,,E,-,,,,,,-,-,,,,,,,-,1,3,,,,,-,-,,,,,,,,NTP and CGX tested the HCl salt,-,,
"1,10-Diazachrysene",218-21-3,0,218-21-3,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"4,10-Diazachrysene",218-34-8,0,218-34-8,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"Dibenz[a,h]anthracene",53-70-3,0,53-70-3,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,,,2,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,,,,,,,,,,+,,
"7H-Dibenzo[c,g]carbazole",194-59-2,0,194-59-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,+,,,,,,,,,+ [188-191],+,,
Dibromoacetic acid,631-64-1,0,631-64-1,2,»,»,,,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,(+) male;        (-) female,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,+,,,,,,,,,+,,
Dibromoacetonitrile,3252-43-5,0,3252-43-5,2,»,»,,,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,+,,,,,,,,,+,,
3-3'-Dibromobenzidine,34237-98-4,0,34237-98-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"1,2-Dibromo-3-chloropropane",96-12-8,0,96-12-8,2,»,»,,,,+,+,,,,,,,,,+,,,E,+,,,,,,,,,E,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,+,-,,,,,,,,+[138]; + ip [116],+,,+,,,,,,,,,,+,,+,,,,,,,,,,+,+,,,,,,+,,,,,,,,,4,0,,,,,+,+,,,,,,,,,+,,
Dibromodulcitol,10318-26-0,0,10318-26-0,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
"1,2-Dibromoethane",106-93-4,0,106-93-4,2,»,»,,,,+,+,,,,,,+,,,+,,,+,+,,,,,,+,,,+,,,,,,,,,,,,,,,,+,+,,,,,,+,,,+,2,0,,,-,+,,,,,,,,-[116] and only small increases in MN normochromatic erythrocytes in NTP study.,E,,-,,,,,,,,,,-,,+,,,,,,,,,,+,-,,,,,,-,+,,,,,+,,+,2,2,,,,,+,+,,,,,,+,,,+,,ECHA: In vitro (+) UDS and (-) DLM Assay
Dibromomannitol,488-41-5,0,488-41-5,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,,,,,,,,,,+,,
3-3'-Dibromomethoxybenzidine,15403-45-9,0,15403-45-9,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"2,3-Dibromo-1-propanol",96-13-9,0,96-13-9,2,»,»,,,,,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,+,,,,,,,,,+,2,0,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,+,,,,,,,,,+,,
"1,3-Dibutyl-1-nitrosourea",56654-52-5,0,56654-52-5,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Dibuthyltin dichloride,683-18-1,0,683-18-1,2,»,»,,,,,,,,,,,+,,+ [34],+,,,,,,,,,,+,,,+,,,,,,,,,,,,,,,,,,,,,,,E,,,E,1,0,,,,,,,,,,+,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Dichloroacetic acid,79-43-6,0,79-43-6,2,»,»,,,,+,+,,,,,,,,,+,,,+,,,,,,,,,,+,,-,,,,,,,,,,-,,,,+,,,,,,,,,,+,2,1,,,+,-,,,,,,,,+ [139],E,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,(+) result after 420 days dosing,+,,,,,,,,,1,0,,,,,+,-,,,,,,,,-  (p53 mice only),+,,
"3,3'-Dichlorobenzidine",91-94-1,0,91-94-1,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,E,,,,,,,,,E [119],E,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,+,,,,,,,+,3,0,,,,,+,,,,,,,,,,+,,
"2,3-Dichlorobuta-1,3-diene",1653-19-6,0,1653-19-6,2,»,»,,,,,,,,,,,+,,,+,,,,,,,,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,
"trans-1,4-Dichlorobutene-2",110-57-6,0,110-57-6,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
"3,4-Dichloro-1-butene",760-23-6,0,760-23-6,2,»,»,+,+,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,+,,,,,,,,,,,+,1,0,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,not listed,not listed,,,,,,,,,,,,,,
"1,2-Dichloroethane",107-06-2,0,107-06-2,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,+,+,,,,,,,,,+,2,0,,,-,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,-,+,,,,,,,+,1,2,,,,,+,+,,,,,,,,,+,,
Dichloromethane,75-09-2,0,75-09-2,2,»,»,,,,+,+,,,,,,+,,,+,,,U,E,,,,,,,,,I,,,,,,,,,I,,,I,,,,+,-,,,,,,+,,,E,0,0,,,-,(+) inhal,,,,,,-,,+ [140]; - [141],+,,-,+ inhal,,,,,,E,,+ call by inhalation [140],+,,-,,,,,,,,,,-,+,,,,,,+,+,,,,,,,+,4,1,,,,,V-71,+,,,,,,+,,+ [192],+,,
"1,4-Dichloro-2-nitrobenzene",89-61-2,0,89-61-2,2,»,»,+,+,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,+,-,-,,,,,,,,,,,-,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,not listed,not listed,(+) Rats & Mice (feed) MHLW,,,,,,,,,,+ [193],+,,
"2,4-Dichloro-1-nitrobenezene",611-06-3,0,611-06-3,2,»,»,+,+,+,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,-,,,,,,,,,-,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,not listed,not listed,(+) Rats & Mice (feed) MHLW,,,,,,,,,,+ [194],+,,
"1,2-Dichloro-4-nitrobenzene",99-54-7,0,99-54-7,2,»,»,+,+,+,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,+,,-,,,,,,,,,+,1,0,,,,,,,,,,,,,,-,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,not listed,not listed,MAK Carc. 3B,,,,,,,,,,+ [195],,,
"2,4-Dichlorophenol",120-83-2,0,120-83-2,2,»,»,,,,E,E,,,,,,,,,E,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,+,-,,,,,,,,,E,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,,,+,2,0,,,,,,-,,,,,,,,,-,,
"2,6-Dichloro-p-phenylenediamine",609-20-1,0,609-20-1,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,,-,,,,,,,,,-,,,+,,,,,,,,,+,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,1,2,,,,,+,+,,,,,,,,,+,,
"1,2-Dichloropropane",78-87-5,0,78-87-5,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,+,,,,,,,,,+,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
"1,3-Dichloro-2-propanol",96-23-1,0,96-23-1,2,»,»,,,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,
"1,3-Dichloropropene (AKA Telone II)",542-75-6,0,542-75-6,2,»,»,,,,+,+,+,,,,,,,,+,,,+,+,- Hprt,,,,,,,+ [110]; - [111],+,,,+,,,,,,,,,+,,,,-,-,+,,,,,,,,E,2,0,,,E,E,E,,,,,,,- [116-142]; + [143] ,E,,+,+,,,,,,,,,+,,-,,-,,,,,,,,-,,-,,,,,-,+,,,+,,,,+,2,2,,,,,+,+,+,,,,,,,,+,,
Dichlorvos,62-73-7,0,62-73-7,2,»,»,,,,+,+,+,,,,,,,,+,,,+,+,+,,,,,,,,+,,,,,,,,,,,,,,,,+,+,+,,,,,,,,+,2,0,,,,(-) Rats,+,,,,,,,- Mice [134],E,,,,-,,,,,,,- [156],-,,-,,-,,,,,,,,-,(+) liver,+,,,,,+,,,,+,,,,+,2,2,,,,,+,+,E,,,,,,,,+,,
"2',3'-Dideoxyadenosine",4097-22-7,0,4097-22-7,2,»,»,,,,E,+,,,,,,,,NTP: +ve in TA102 strain +S9,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,E,+,,,,,,,,E [2],E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
"2',3'-Dideoxycytidine",7481-89-2,0,7481-89-2,2,»,»,,,,weak +,+,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,E,+,,,,,,,,E [2],E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
"Diepoxybutane/1,2,3,4-diepoxybutane/ 1,2,3,4-DL-diepoxybutane",1464-53-5/298-18-0/ 30419-67-1,10,1464-53-5,2,»,»,,,,+,+,,,,,,,,NTP: +ve in TA102 strain +S9,+,,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,3,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,+,,,,,,,,,,+,-,,,,,,-,+,,,,,,,+,3,1,,,,,+,,,,,,,,,"+ [196, 197]",+,,
