PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Species/Cell Type,Sex,Assay Type,Assay Code,Results,Activation,Dose Response,Panel Report,Reference,Evaluation Type
6431,363896703,24912,C#CC(C1=CC=CC=C1)(C2=CC=CC=C2)OC(=O)NC3CCCCC3,Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+,Positive,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/24673; MUTAT RES 48:121-130,1977 ; EMICBACK/21338; PROC NATL ACAD SCI USA 72:5135-5139,1975",Evaluation A (Pre-1980)
6432,363896704,64735,Cl[La](Cl)Cl,Inactive,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW-,Negative,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
6433,363896705,24930,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Cr+3].[Cr+3],Unspecified,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2T,No conclusion,,,,"EMICBACK/58920; ENVIRON MUTAGEN 7:185-200,1985",Evaluation B (Post-1980)
6434,363896705,24930,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Cr+3].[Cr+3],Inactive,,,,Mammalian oocytes or early embryo,,Chromosome aberrations in vivo,CYO-,Negative,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
6435,363896706,24586,[O-]S(=O)(=O)[O-].[Ni+2],Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+,Positive,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/45292; MUTAT RES 104:141-145,1982",Evaluation B (Post-1980)
6436,363896706,24586,[O-]S(=O)(=O)[O-].[Ni+2],Active,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1+,Positive,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/41825; ENVIRON MUTAGEN 3:597-606,1981",Evaluation B (Post-1980)
6437,363896706,24586,[O-]S(=O)(=O)[O-].[Ni+2],Active,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vitro,SCL+,Positive,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/41825; ENVIRON MUTAGEN 3:597-606,1981",Evaluation B (Post-1980)
6438,363896706,24586,[O-]S(=O)(=O)[O-].[Ni+2],Active,,,,Syrian hamster embryo (SHE) cells,,"Cell transformation, clonal assay",CTC+D,Positive,,With dose response,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
6439,363896706,24586,[O-]S(=O)(=O)[O-].[Ni+2],Active,,,,Fischer rat embryo (RLV/1706) cells,,"Cell transformation, viral enhanced",CTR+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
6440,363896707,24934,[O-][Se](=O)[O-].[Na+].[Na+],Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+D,Positive,,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/48905; CANCER LETT 18:109-116,1983",Evaluation B (Post-1980)
6441,363896707,24934,[O-][Se](=O)[O-].[Na+].[Na+],Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vivo,SC3+D,Positive,,With dose response,,"EMICBACK/37359; HEREDITAS 93:101-105,1980",Evaluation B (Post-1980)
6442,363896707,24934,[O-][Se](=O)[O-].[Na+].[Na+],Active,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vivo,SCY+,Positive,,,,"EMICBACK/37357; HEREDITAS 93:93-96,1980",Evaluation B (Post-1980)
6443,363896707,24934,[O-][Se](=O)[O-].[Na+].[Na+],Active,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vitro,SCL+D,Positive,,With dose response,"EMICBACK/41613; MUTAT RES 87:17-62,1981",,Evaluation A (Pre-1980)
6444,363896707,24934,[O-][Se](=O)[O-].[Na+].[Na+],Active,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1+D,Positive,,With dose response,"EMICBACK/41613; MUTAT RES 87:17-62,1981",,Evaluation A (Pre-1980)
6445,363896707,24934,[O-][Se](=O)[O-].[Na+].[Na+],Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+,Positive,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/31182; MUTAT RES 66:175-179,1979",Evaluation A (Pre-1980)
6446,363896707,24934,[O-][Se](=O)[O-].[Na+].[Na+],Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+,Positive,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/31182; MUTAT RES 66:175-179,1979",Evaluation A (Pre-1980)
6447,363896708,,,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+D,Positive,,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/41528; MUTAT RES 89:303-309,1981",Evaluation B (Post-1980)
6448,363896708,,,Active,,,,Tradescantia species,,Gene mutation,TRM+D,Positive,,With dose response,"EMICBACK/48095; MUTAT RES 99:303-315,1982",,Evaluation A (Pre-1980)
6449,363896709,119064,[N+](=O)(O)[O-].[Cr],Unspecified,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SALT,No conclusion,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/30889; MUTAT RES 58:167-173,1978",Evaluation A (Pre-1980)
6450,363896710,24947,Cl[Cd]Cl,Inactive,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNT-,Negative,,,"EMICBACK/77345; MUTAT RES 239:29-80,1990","EMICBACK/45028; MUTAT RES 97:43-48,1982",Evaluation B (Post-1980)
6451,363896710,24947,Cl[Cd]Cl,Inactive,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2-,Negative,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/45292; MUTAT RES 104:141-145,1982",Evaluation B (Post-1980)
6452,363896710,24947,Cl[Cd]Cl,Active,,,,Syrian hamster embryo (SA7/SHE) cells,,"Cell transformation, viral enhanced",CT7+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
6453,363896710,24947,Cl[Cd]Cl,Inactive,,,,Human lymphocytes or leukocytes,,Chromosome aberrations in vitro,CY7-,Negative,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
6454,363896710,24947,Cl[Cd]Cl,Inactive,,,,Rodents,Male,Dominant lethal test,DLT-,Negative,,,"EMICBACK/60142; MUTAT RES 154:49-67,1985","EMICBACK/21323; TOXICOLOGY 5:43-47,1975",Evaluation A (Pre-1980)
6455,363896710,24947,Cl[Cd]Cl,Inactive,,,,Salmonella typhimurium,,"Forward and reverse gene mutation, host-mediated assay",HMA-,Negative,,,"EMICBACK/45734; MUTAT RES 98:319-374,1982","EMICBACK/25221; SOV GENET 13:737-739,1977",Evaluation A (Pre-1980)
6456,363896710,24947,Cl[Cd]Cl,Unspecified,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNTT,No conclusion,,,"EMICBACK/50890; MUTAT RES 123:61-118,1983",,Evaluation A (Pre-1980)
6457,363896710,24947,Cl[Cd]Cl,Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
6458,363896710,24947,Cl[Cd]Cl,Unspecified,,,,Mouse,Male,Sperm morphology,SPIT,No conclusion,,,"EMICBACK/50126; MUTAT RES 115:1-72,1983",,Evaluation A (Pre-1980)
6459,363896710,24947,Cl[Cd]Cl,Active,,,,Rabbit,Male,Sperm morphology,SPR+,Positive,,,"EMICBACK/50126; MUTAT RES 115:1-72,1983",,Evaluation A (Pre-1980)
6460,363896710,24947,Cl[Cd]Cl,Active,,,,Rat,Male,Sperm morphology,SPA+,Positive,,,"EMICBACK/50126; MUTAT RES 115:1-72,1983",,Evaluation A (Pre-1980)
6461,363896710,24947,Cl[Cd]Cl,Active,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEH+,Positive,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
6462,363896710,24947,Cl[Cd]Cl,Active,,,,Drosophila melanogaster,,"Aneuploidy, whole sex chromosome loss, chromosome aberrations",DAC+,Positive,,,"EMICBACK/52867; MUTAT RES 134:61-88,1984",,Evaluation A (Pre-1980)
6463,363896710,24947,Cl[Cd]Cl,Active,,,,Nonhuman,,In vivo carcinogenicity studies,CCG+,Positive,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
6464,363896710,24947,Cl[Cd]Cl,Unspecified,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SALT,No conclusion,,,EMICBACK/63689;,"EMICBACK/25049; MUTAT RES 46:223-224,1977",Evaluation A (Pre-1980)
6465,363896711,24850,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[Al+3],Inactive,,,,Syrian hamster embryo (SA7/SHE) cells,,"Cell transformation, viral enhanced",CT7-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
6466,363896712,24962,[O-]S(=O)(=O)[O-].[Cd+2],Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
6467,363896712,24962,[O-]S(=O)(=O)[O-].[Cd+2],Active,,,,Nonhuman,,In vivo carcinogenicity studies,CCG+,Positive,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
6468,363896713,24965,[O-]S(=O)(=O)[O-].[Co+2],Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
6469,363896714,24971,C1=CC=C(C=C1)C2=CC=C(C=C2)N=O,Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+,Positive,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/14980; PROC NATL ACAD SCI USA 70:782-786,1973 ; EMICBACK/24867; CANCER RES 37:1757-1762,1977",Evaluation A (Pre-1980)
6470,363896715,150190,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Rh+3],Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
6471,363896716,61489,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[K+].[Cr+3],Unspecified,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SALT,No conclusion,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/25197; APPL ENVIRON MICROBIOL 33:805-809,1977 ; EMICBACK/30889; MUTAT RES 58:167-173,1978",Evaluation A (Pre-1980)
6472,363896717,96356,C(CCl)N(CCCl)P(=O)(N)O,Active,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vitro,SCL+D,Positive,,With dose response,,"EMICBACK/58368; MUTAT RES 129:47-55,1984",Evaluation B (Post-1980)
6473,363896717,96356,C(CCl)N(CCCl)P(=O)(N)O,Active,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1+D,Positive,,With dose response,,"EMICBACK/58368; MUTAT RES 129:47-55,1984",Evaluation B (Post-1980)
6474,363896717,96356,C(CCl)N(CCCl)P(=O)(N)O,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+D,Positive,,With dose response,,"EMICBACK/37878; MUTAT RES 80:297-311,1981",Evaluation B (Post-1980)
6475,363896717,96356,C(CCl)N(CCCl)P(=O)(N)O,Active,,,,Salmonella typhimurium,,"Forward and reverse gene mutation, body fluid assay",BFU+S,Positive,,,"EMICBACK/45734; MUTAT RES 98:319-374,1982","EMICBACK/30665; CANCER TREAT REP 62:1321-1328,1978",Evaluation A (Pre-1980)
6476,363896718,24266,[O-]P(=O)([O-])F.[Na+].[Na+],Unspecified,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNTT,No conclusion,,,"EMICBACK/77345; MUTAT RES 239:29-80,1990","EMICBACK/41641; MUTAT RES 90:91-109,1981",Evaluation B (Post-1980)
6477,363896719,25020,C1CN1Cl,Active,,,,Schizosaccharomyces pombe,,Reverse gene mutation,YEZ+,Positive,,,"EMICBACK/50690; MUTAT RES 115:215-223,1983",,Evaluation A (Pre-1980)
6478,363896720,23668199,C1=CC(=CC=C1N=NC2=C(C=C(C=C2)N)N)S(=O)(=O)[O-].[Na+],Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+*,Positive,With metabolic activation,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/23910; MUTAT RES 40:309-316,1976",Evaluation A (Pre-1980)
6479,363896721,2116,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,Unspecified,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1T,No conclusion,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/60024; MUTAT RES 156:117-121,1985",Evaluation B (Post-1980)
6480,363896721,2116,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,Unspecified,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vitro,SCLT,No conclusion,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/60024; MUTAT RES 156:117-121,1985",Evaluation B (Post-1980)
6481,363896722,66292,O=[V].Cl.Cl,Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
6482,363896723,150191,O.O.[O-][W](=O)(=O)[O-].[Na+].[Na+],Unspecified,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1T,No conclusion,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/41825; ENVIRON MUTAGEN 3:597-606,1981",Evaluation B (Post-1980)
6483,363896723,150191,O.O.[O-][W](=O)(=O)[O-].[Na+].[Na+],Unspecified,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vitro,SCLT,No conclusion,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/41825; ENVIRON MUTAGEN 3:597-606,1981",Evaluation B (Post-1980)
6484,363896724,3488,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,Unspecified,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNTT,No conclusion,,,"EMICBACK/77345; MUTAT RES 239:29-80,1990","EMICBACK/67561; TOXICOL LETT 34:153-157,1986",Evaluation B (Post-1980)
6485,363896724,3488,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,Unspecified,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vivo,SC3T,No conclusion,,,,"EMICBACK/34661; MUTAT RES 77:349-355,1980",Evaluation B (Post-1980)
6486,363896725,61497,Cl[Mo](Cl)(Cl)(Cl)Cl,Inactive,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW-,Negative,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
6487,363896726,25102,CCCCCC(=O)C1=C(C=C2C(=C1O)C(=O)C3=C(C2=O)C=C(C=C3O)O)O,Unspecified,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SALT,No conclusion,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/25248; MUTAT RES 44:447-450,1977",Evaluation A (Pre-1980)
6488,363896727,4096,COP(=O)(N)SC,Unspecified,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2T,No conclusion,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/48211; ENVIRON MUTAGEN 4:621-624,1982",Evaluation B (Post-1980)
6489,363896728,25137,[O-]S(=O)(=O)[O-].[Cs+].[Cs+],Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
6490,363896729,25154,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Cd+2],Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
6491,363896730,25164,C1=CC=C2C=C(C=CC2=C1)C(=O)NO,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+D,Positive,,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/37659; MUTAT RES 88:81-88,1981",Evaluation B (Post-1980)
6492,363896730,25164,C1=CC=C2C=C(C=CC2=C1)C(=O)NO,Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+,Positive,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/25926; ANTIMICROB AGENTS CHEMOTHER 11:753-755,1977 ; EMICBACK/26451; MUTAT RES 56:7-12,1977",Evaluation A (Pre-1980)
6493,363896731,25204,[Cl-].[Cl-].[Ba+2],Inactive,,,,Syrian hamster embryo (SA7/SHE) cells,,"Cell transformation, viral enhanced",CT7-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
6494,363896731,25204,[Cl-].[Cl-].[Ba+2],Inactive,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW-,Negative,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
6495,363896732,72512,CC1=C2C=CN=CC2=C(C3=C1NC4=C3C=C(C=C4)OC)C,Active,,,,Chinese hamster ovary (CHO) cells,,Forward gene mutation at the HPRT locus,CHO+,Positive,,,"EMICBACK/71517; MUTAT RES 196:17-36,1988","EMICBACK/50824; CANCER RES 43:3544-3552,1983",Evaluation B (Post-1980)
6496,363896733,61511,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Mn+2],Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
6497,363896734,25219,C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2CCl)CCl,Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+,Positive,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/21337; PROC NATL ACAD SCI USA 72:5135-5139,1975",Evaluation A (Pre-1980)
6498,363896735,150192,[O-][Se](=O)[O-].[K+].[K+],Inactive,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW-,Negative,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
6499,363896736,23700088,C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)[O-].[Na+],Active,,,,Hordeum vulgare (barley),,Chromosome aberrations,HOC+,Positive,,,"EMICBACK/45867; MUTAT RES 99:13-36,1982",,Evaluation A (Pre-1980)
6500,363896736,23700088,C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)[O-].[Na+],Unspecified,,,,Escherichia coli polA (W3119 vs P3478),,"Rec-assay, DNA effects (bacterial DNA repair)",RE1T,No conclusion,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
6501,363896736,23700088,C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)[O-].[Na+],Inactive,,,,Escherichia coli WP2 UVRA,,Tryptophan reverse gene mutation,WPU-*,Negative,With metabolic activation,,"EMICBACK/37490; MUTAT RES 76:169-190,1980",,Evaluation A (Pre-1980)
6502,363896737,5053,CC(=CC1C(C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C,Inactive,,,,Human diploid fibroblasts,,"Unscheduled DNA synthesis (UDS) in vitro, DNA effects",UDH-,Negative,,,"EMICBACK/52100; MUTAT RES 123:363-410,1983",,Evaluation A (Pre-1980)
6503,363896737,5053,CC(=CC1C(C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C,Inactive,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEH-,Negative,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
6504,363896738,2743,CC(=CC1C(C1(C)C)C(=O)O)C,Inactive,,,,Human diploid fibroblasts,,"Unscheduled DNA synthesis (UDS) in vitro, DNA effects",UDH-,Negative,,,"EMICBACK/52100; MUTAT RES 123:363-410,1983",,Evaluation A (Pre-1980)
6505,363896738,2743,CC(=CC1C(C1(C)C)C(=O)O)C,Inactive,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEH-,Negative,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
6506,363896739,61520,[Cl-].[Cl-].[Sr+2],Inactive,,,,Syrian hamster embryo (SA7/SHE) cells,,"Cell transformation, viral enhanced",CT7-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
6507,363896740,25306,C1=CC(=CC=C1CC(=O)O)N(CCCl)CCCl,Active,,,,Drosophila melanogaster,,Sex-linked recessive lethal gene mutation,SRL+,Positive,,,"EMICBACK/50912; MUTAT RES 123:183-279,1983",,Evaluation A (Pre-1980)
6508,363896741,6433549,C/C(=C\C(=O)OC)/CCCC(C)(CCCC(C)(C)Cl)Cl,Unspecified,,,,Drosophila melanogaster,,Sex-linked recessive lethal gene mutation,SRLT,No conclusion,,,"EMICBACK/50912; MUTAT RES 123:183-279,1983",,Evaluation A (Pre-1980)
6509,363896742,2733526,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,Unspecified,,,,Human,Male,Sperm morphology,SPHT,No conclusion,,,"EMICBACK/50125; MUTAT RES 115:73-148,1983",,Evaluation A (Pre-1980)
6510,363896743,25408,[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[Na+].[Na+],Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+,Positive,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/31683; MUTAT RES 67:231-238,1979",Evaluation B (Post-1980)
6511,363896743,25408,[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[Na+].[Na+],Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+,Positive,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/25197; APPL ENVIRON MICROBIOL 33:805-809,1977",Evaluation A (Pre-1980)
6512,363896744,25418,CCN(C)N=O,Active,,,,Nonhuman,,In vivo carcinogenicity studies,CCG+,Positive,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
6513,363896744,25418,CCN(C)N=O,Unspecified,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SALT,No conclusion,,,EMICBACK/63689;,"EMICBACK/30873; MUTAT RES 66:1-7,1979",Evaluation A (Pre-1980)
6514,363896745,25423,NCl,Unspecified,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNTT,No conclusion,,,"EMICBACK/77345; MUTAT RES 239:29-80,1990","EMICBACK/58921; ENVIRON MUTAGEN 7:201-211,1985",Evaluation B (Post-1980)
6515,363896746,25429,COC(=O)NC1=NC2=CC=CC=C2N1,Active,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1+D,Positive,,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/53483; NUCLEUS(CALCUTTA) 26:9-10,1983",Evaluation B (Post-1980)
6516,363896746,25429,COC(=O)NC1=NC2=CC=CC=C2N1,Active,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vitro,SCL+D,Positive,,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/53483; NUCLEUS(CALCUTTA) 26:9-10,1983",Evaluation B (Post-1980)
6517,363896746,25429,COC(=O)NC1=NC2=CC=CC=C2N1,Unspecified,,,,Aspergillus nidulans,,Mitotic recombination,ASGT,No conclusion,,,"EMICBACK/45085; MUTAT RES 98:1-48,1982",,Evaluation A (Pre-1980)
6518,363896746,25429,COC(=O)NC1=NC2=CC=CC=C2N1,Active,,,,Aspergillus nidulans,,"Aneuploidy, chromosome aberrations",ASN+,Positive,,,"EMICBACK/45085; MUTAT RES 98:1-48,1982",,Evaluation A (Pre-1980)
6519,363896746,25429,COC(=O)NC1=NC2=CC=CC=C2N1,Active,,,,Mouse,Female,"Spot test, gene mutation",MST+,Positive,,,"EMICBACK/41536; MUTAT RES 86:355-379,1981","EMICBACK/31701; CHEM BIOL INTERACT 26:115-120,1979",Evaluation A (Pre-1980)
6520,363896746,25429,COC(=O)NC1=NC2=CC=CC=C2N1,Active,,,,Allium cepa,,Chromosome aberrations,ALC+,Positive,,,"EMICBACK/48093; MUTAT RES 99:273-291,1982",,Evaluation A (Pre-1980)
6521,363896746,25429,COC(=O)NC1=NC2=CC=CC=C2N1,Active,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEC+,Positive,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
