Chemical,SMILES,Identificador,Results,Type,Species,Strain,Male,Female
Kresoxim-methyl,CC1=CC=CC=C1OCC2=CC=CC=C2/C(=N\OC)/C(=O)OC,143390-89-0,Negative,in vivo,Rat,Wistar,Sim,Sim
Kresoxim-methyl,CC1=CC=CC=C1OCC2=CC=CC=C2/C(=N\OC)/C(=O)OC,143390-89-0,Negative,in vivo,Rat,Wistar,Sim,Não
l-5-MORPHOLINOMETHYL-3-[(5-NITROFURFURYLIDENE)AMINO]-2-OXAZOLIDINONE.HCl,C1COCCN1CC2CN(C(=O)O2)N=CC3=CC=C(O3)[N+](=O)[O-].Cl,3031-51-4,Positive,In vivo,Rat,sda,Não,Sim
"l-ASCORBATE, SODIUM",C(C(C1C(=C(C(=O)O1)O)[O-])O)O.[Na+],0134-03-02,Negative,In vivo,Rat,f3d,Sim,Não
L-ascorbic acid,C(C(C1C(=C(C(=O)O1)O)O)O)O,50-81-7,Negative,in vivo,Rodents,Not reported,Não,Não
L-ascorbic acid,C(C(C1C(=C(C(=O)O1)O)O)O)O,50-81-7,Negative,in vivo,mouse,CD-1,Não,Não
L-ascorbic acid,C(C(C1C(=C(C(=O)O1)O)O)O)O,50-81-7,Negative,in vivo,mouse,B6C3F1,Não,Não
l-CYSTEINE.HCl,C(C(C(=O)O)N)S.Cl,52-89-1,Negative,In vivo,Rat,f3d,Não,Sim
l-CYSTEINE.HCl,C(C(C(=O)O)N)S.Cl,52-89-1,Negative,In vivo,Rat,f3d,Sim,Não
l-GLUTAMIC ACID,C(CC(=O)O)C(C(=O)O)N,56-86-0,Negative,In vivo,mouse,cbl,Sim,Não
l-HISTIDINE.HCl,C1=C(NC=N1)CC(C(=O)O)N.Cl,645-35-2,Negative,In vivo,Rat,f3d,Não,Sim
l-HISTIDINE.HCl,C1=C(NC=N1)CC(C(=O)O)N.Cl,645-35-2,Negative,In vivo,Rat,f3d,Sim,Não
l-MONOSODIUM GLUTAMATE,C(CC(=O)O)C(C(=O)[O-])N.[Na+],142-47-2,Negative,In vivo,mouse,cbl,Sim,Não
l-MONOSODIUM GLUTAMATE,C(CC(=O)O)C(C(=O)[O-])N.[Na+],142-47-2,Negative,In vivo,Rat,f3d,Não,Sim
l-MONOSODIUM GLUTAMATE,C(CC(=O)O)C(C(=O)[O-])N.[Na+],142-47-2,Negative,In vivo,Rat,f3d,Sim,Não
l-TRYPTOPHAN,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,73-22-3,Negative,In vivo,Rat,fis,Sim,Não
Lactofen,CCOC(=O)C(C)OC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-],77501-63-4,Negative,In vivo,não definido,não definido,Não,Não
Lambda-cyhalothrin,CC1([C@@H]([C@@H]1C(=O)O[C@@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C,91465-08-06,Negative,in vivo,mouse,C57BL,Sim,Sim
Lambda-cyhalothrin,CC1([C@@H]([C@@H]1C(=O)O[C@@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C,91465-08-06,Negative,in vivo,mouse,NMRI,Sim,Sim
LASIOCARPINE,CC=C(C)C(=O)OC1CCN2C1C(=CC2)COC(=O)C(C(C)OC)(C(C)(C)O)O,303-34-4,Positive,In vivo,Rat,f34,Sim,Não
lead,[Pb],7439-92-1,Positive,in vivo,Human,Não definido,Sim,Não
LEAD ACETATE,CC(=O)[O-].CC(=O)[O-].[Pb+2],0301-04-02,Negative,In vivo,mouse,cd1,Não,Sim
LEAD ACETATE,CC(=O)[O-].CC(=O)[O-].[Pb+2],0301-04-02,Negative,In vivo,mouse,cd1,Sim,Não
LEAD ACETATE,CC(=O)[O-].CC(=O)[O-].[Pb+2],0301-04-02,Negative,In vivo,Rat,leb,Sim,Sim
LEAD ACETATE,CC(=O)[O-].CC(=O)[O-].[Pb+2],0301-04-02,Negative,In vivo,Rat,f34,Não,Sim
LEAD ACETATE,CC(=O)[O-].CC(=O)[O-].[Pb+2],0301-04-02,Positive,In vivo,Rat,sda,Sim,Não
LEAD ACETATE,CC(=O)[O-].CC(=O)[O-].[Pb+2],0301-04-02,Positive,In vivo,Rat,f34,Sim,Não
"LEAD ACETATE, BASIC",CC(=O)[O-].CC(=O)[O-].[OH-].[OH-].[OH-].[OH-].[Pb+2].[Pb+2].[Pb+2],1335-32-6,Positive,In vivo,mouse,swi,Não,Sim
"LEAD ACETATE, BASIC",CC(=O)[O-].CC(=O)[O-].[OH-].[OH-].[OH-].[OH-].[Pb+2].[Pb+2].[Pb+2],1335-32-6,Positive,In vivo,mouse,swi,Sim,Não
"LEAD ACETATE, BASIC",CC(=O)[O-].CC(=O)[O-].[OH-].[OH-].[OH-].[OH-].[Pb+2].[Pb+2].[Pb+2],1335-32-6,Negative,In vivo,Rat,sda,Sim,Não
"LEAD ACETATE, BASIC",CC(=O)[O-].CC(=O)[O-].[OH-].[OH-].[OH-].[OH-].[Pb+2].[Pb+2].[Pb+2],1335-32-6,Positive,In vivo,Rat,sda,Sim,Não
"LEAD ACETATE, BASIC",CC(=O)[O-].CC(=O)[O-].[OH-].[OH-].[OH-].[OH-].[Pb+2].[Pb+2].[Pb+2],1335-32-6,Positive,In vivo,Rat,wis,Não,Sim
"LEAD ACETATE, BASIC",CC(=O)[O-].CC(=O)[O-].[OH-].[OH-].[OH-].[OH-].[Pb+2].[Pb+2].[Pb+2],1335-32-6,Positive,In vivo,Rat,wis,Sim,Não
Lead and compounds (inorganic),[Pb],7439-92-1,Negative,In vivo,não definido,não definido,Não,Não
lead(2+);diacetate,CC(=O)[O-].CC(=O)[O-].[Pb+2],0301-04-02,Positive,in vivo,mouse,Não definido,Sim,Não
lead(2+);diacetate,CC(=O)[O-].CC(=O)[O-].[Pb+2],9317,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
lead(2+);diacetate,CC(=O)[O-].CC(=O)[O-].[Pb+2],9317,Negative,In Vivo,MOUSE,SWISS,sim,sim
lead(2+);diacetate,CC(=O)[O-].CC(=O)[O-].[Pb+2],9317,Negative,In Vivo,MOUSE,SWISS,sim,Não
lead(2+);diacetate,CC(=O)[O-].CC(=O)[O-].[Pb+2],9317,Positive,In Vivo,MOUSE,B6C3F1,sim,Não
lead(2+);diacetate,CC(=O)[O-].CC(=O)[O-].[Pb+2],0301-04-02,Positive,in vivo,Nonhuman,Não definido,Não,Não
lead(2+);diacetate,CC(=O)[O-].CC(=O)[O-].[Pb+2],9317,Positive,In Vivo,RAT,F344,sim,Não
lead(2+);diacetate,CC(=O)[O-].CC(=O)[O-].[Pb+2],9317,Positive,In Vivo,RAT,WISTAR,sim,sim
lead(2+);diacetate;tetrahydroxide,CC(=O)[O-].CC(=O)[O-].[OH-].[OH-].[OH-].[OH-].[Pb+2].[Pb+2].[Pb+2],5284406,Positive,In Vivo,MOUSE,STRAIN-A,sim,sim
lead(2+);diacetate;tetrahydroxide,CC(=O)[O-].CC(=O)[O-].[OH-].[OH-].[OH-].[OH-].[Pb+2].[Pb+2].[Pb+2],5284406,Positive,In Vivo,MOUSE,SWISS,sim,Não
lead(2+);diacetate;tetrahydroxide,CC(=O)[O-].CC(=O)[O-].[OH-].[OH-].[OH-].[OH-].[Pb+2].[Pb+2].[Pb+2],1335-32-6,Positive,in vivo,Nonhuman,Não definido,Não,Não
lead(2+);diacetate;tetrahydroxide,CC(=O)[O-].CC(=O)[O-].[OH-].[OH-].[OH-].[OH-].[Pb+2].[Pb+2].[Pb+2],5284406,Positive,In Vivo,RAT,SPRAGUE-DAWLEY,sim,Não
lead(2+);diacetate;tetrahydroxide,CC(=O)[O-].CC(=O)[O-].[OH-].[OH-].[OH-].[OH-].[Pb+2].[Pb+2].[Pb+2],5284406,Positive,In Vivo,RAT,WISTAR,sim,sim
lead(2+);diphosphate,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Pb+2].[Pb+2].[Pb+2],,Positive,in vivo,Nonhuman,Não definido,Não,Não
lead(2+);diphosphate,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Pb+2].[Pb+2].[Pb+2],24009,Positive,In Vivo,RAT,ALBINO,Não,Não
lead(2+);diphosphate,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Pb+2].[Pb+2].[Pb+2],24009,Positive,In Vivo,RAT,STRAIN-CB,sim,Não
lead(2+);tetraacetate,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Pb+2],546-67-8,Positive,in vivo,Nonhuman,Não definido,Não,Não
Lenacil,O=C1NC2=C(CCC2)C(=O)N1C3CCCCC3,2164-08-01,Negative,in vivo,mouse,Not reported,Sim,Não
LEUPEPTIN,CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C=O)NC(=O)C,24365-47-7,Negative,In vivo,mouse,ajj,Não,Sim
LEUPEPTIN,CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C=O)NC(=O)C,24365-47-7,Negative,In vivo,mouse,ajj,Sim,Não
LEUPEPTIN,CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C=O)NC(=O)C,24365-47-7,Positive,In vivo,mouse,ajj,Sim,Não
Limonene,CC1=CCC(CC1)C(=C)C,5989-27-5,Negative,In vivo,não definido,não definido,Não,Não
Linuron,CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC,330-55-2,Negative,In vivo,não definido,não definido,Não,Não
LOFEXIDINE.HCl,CC(C1=NCCN1)OC2=C(C=CC=C2Cl)Cl.Cl,21498-08-08,Negative,In vivo,Rat,lev,Não,Sim
LOFEXIDINE.HCl,CC(C1=NCCN1)OC2=C(C=CC=C2Cl)Cl.Cl,21498-08-08,Negative,In vivo,Rat,lev,Sim,Não
Londax,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)CC2=CC=CC=C2C(=O)OC)OC,83055-99-6,Negative,In vivo,não definido,não definido,Não,Não
LORNOXICAM,CN1C(=C(C2=C(S1(=O)=O)C=C(S2)Cl)O)C(=O)NC3=CC=CC=N3,70374-39-9,Negative,In vivo,Rat,sda,Não,Sim
LORNOXICAM,CN1C(=C(C2=C(S1(=O)=O)C=C(S2)Cl)O)C(=O)NC3=CC=CC=N3,70374-39-9,Negative,In vivo,Rat,sda,Sim,Não
LOVASTATIN,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,75330-75-5,Positive,In vivo,mouse,cd1,Não,Sim
LOVASTATIN,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,75330-75-5,Positive,In vivo,mouse,cd1,Sim,Não
LOVASTATIN,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,75330-75-5,Negative,In vivo,Rat,cdr,Não,Sim
LOVASTATIN,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,75330-75-5,Negative,In vivo,Rat,cdr,Sim,Não
LOXTIDINE,CN1C(=NC(=N1)CO)NCCCOC2=CC=CC(=C2)CN3CCCCC3,76956-02-0,Positive,In vivo,Rat,cdr,Não,Sim
LOXTIDINE,CN1C(=NC(=N1)CO)NCCCOC2=CC=CC(=C2)CN3CCCCC3,76956-02-0,Positive,In vivo,Rat,cdr,Sim,Não
Lufenuron,O=C(NC(NC2=C(Cl)C=C(OC(F)(F)C(F)C(F)(F)F)C(Cl)=C2)=O)C1=C(F)C=CC=C1F,103055-07-8,Negative,in vivo,mouse,NMRI,Sim,Sim
Lufenuron,O=C(NC(NC2=C(Cl)C=C(OC(F)(F)C(F)C(F)(F)F)C(Cl)=C2)=O)C1=C(F)C=CC=C1F,103055-07-8,Negative,in vivo,Rat,Sprague-Dawley,Sim,Não
Lufenuron,O=C(NC(NC2=C(Cl)C=C(OC(F)(F)C(F)C(F)(F)F)C(Cl)=C2)=O)C1=C(F)C=CC=C1F,103055-07-8,Negative,in vivo,Rat,Wistar,Sim,Não
LUPITIDINE.3HCl,CC1=NC=C(C=C1)CC2=CN=C(NC2=O)NCCSCC3=CC=C(O3)CN(C)C.Cl.Cl.Cl,72716-75-7,Negative,In vivo,mouse,ssk,Não,Sim
LUPITIDINE.3HCl,CC1=NC=C(C=C1)CC2=CN=C(NC2=O)NCCSCC3=CC=C(O3)CN(C)C.Cl.Cl.Cl,72716-75-7,Negative,In vivo,mouse,ssk,Sim,Não
LUPITIDINE.3HCl,CC1=NC=C(C=C1)CC2=CN=C(NC2=O)NCCSCC3=CC=C(O3)CN(C)C.Cl.Cl.Cl,72716-75-7,Positive,In vivo,Rat,wsk,Não,Sim
LUPITIDINE.3HCl,CC1=NC=C(C=C1)CC2=CN=C(NC2=O)NCCSCC3=CC=C(O3)CN(C)C.Cl.Cl.Cl,72716-75-7,Positive,In vivo,Rat,wsk,Sim,Não
LUTEOSKYRIN,CC1=CC(=C2C(=C1O)C(=O)C34C5C6C(C3C(=O)C7=C(C8=C(C=C(C(=C8C(=O)C67C(C5O)C(=O)C4=C2O)O)C)O)O)O)O,21884-44-6,Positive,In vivo,mouse,ddn,Não,Sim
LUTEOSKYRIN,CC1=CC(=C2C(=C1O)C(=O)C34C5C6C(C3C(=O)C7=C(C8=C(C=C(C(=C8C(=O)C67C(C5O)C(=O)C4=C2O)O)C)O)O)O)O,21884-44-6,Positive,In vivo,mouse,ddn,Sim,Não
LYNESTRENOL,CC12CCC3C(C1CCC2(C#C)O)CCC4=CCCCC34,52-76-6,Positive,In vivo,Dog,beg,Não,Sim
m-PHENYLENEDIAMINE,C1=CC(=CC(=C1)N)N,108-45-2,Negative,In vivo,mouse,b6c,Não,Sim
m-PHENYLENEDIAMINE,C1=CC(=CC(=C1)N)N,108-45-2,Negative,In vivo,mouse,b6c,Sim,Não
m-PHENYLENEDIAMINE.2HCl,C1=CC(=CC(=C1)N)N.Cl.Cl,541-69-5,Negative,In vivo,mouse,chi,Não,Sim
m-PHENYLENEDIAMINE.2HCl,C1=CC(=CC(=C1)N)N.Cl.Cl,541-69-5,Negative,In vivo,mouse,chi,Sim,Não
m-PHENYLENEDIAMINE.2HCl,C1=CC(=CC(=C1)N)N.Cl.Cl,541-69-5,Negative,In vivo,Rat,cdr,Sim,Não
m-TOLUIDINE.HCl,CC1=CC(=CC=C1)N.Cl,0638-03-09,Negative,In vivo,mouse,chi,Não,Sim
m-TOLUIDINE.HCl,CC1=CC(=CC=C1)N.Cl,0638-03-09,Negative,In vivo,mouse,chi,Sim,Não
m-TOLUIDINE.HCl,CC1=CC(=CC=C1)N.Cl,0638-03-09,Positive,In vivo,mouse,chi,Sim,Não
m-TOLUIDINE.HCl,CC1=CC(=CC=C1)N.Cl,0638-03-09,Negative,In vivo,Rat,cdr,Sim,Não
MAGNESIUM CHLORIDE HEXAHYDRATE,O.O.O.O.O.O.[Mg+2].[Cl-].[Cl-],7791-18-6,Negative,In vivo,mouse,b6c,Não,Sim
MAGNESIUM CHLORIDE HEXAHYDRATE,O.O.O.O.O.O.[Mg+2].[Cl-].[Cl-],7791-18-6,Negative,In vivo,mouse,b6c,Sim,Não
Magnesium phosphide,[Mg+2].[Mg+2].[Mg+2].[P-3].[P-3],12057-74-8,Negative,in vivo,mouse,Swiss,Não,Não
Magnesium phosphide,[Mg+2].[Mg+2].[Mg+2].[P-3].[P-3],12057-74-8,Negative,in vivo,mouse,Balb/c,Sim,Sim
Magnesium phosphide,[Mg+2].[Mg+2].[Mg+2].[P-3].[P-3],12057-74-8,Negative,in vivo,mouse,Swiss,Sim,Não
Magnesium phosphide,[Mg+2].[Mg+2].[Mg+2].[P-3].[P-3],12057-74-8,Negative,in vivo,mouse,CD-1,Sim,Não
Magnesium phosphide,[Mg+2].[Mg+2].[Mg+2].[P-3].[P-3],12057-74-8,Negative,in vivo,mouse,B6C3F1,Sim,Não
Magnesium phosphide,[Mg+2].[Mg+2].[Mg+2].[P-3].[P-3],12057-74-8,Positive,in vivo,mouse,Balb/c,Sim,Sim
Magnesium phosphide,[Mg+2].[Mg+2].[Mg+2].[P-3].[P-3],12057-74-8,Negative,in vivo,Rat,Fischer344,Sim,Não
magnesium;dichloride;hexahydrate,O.O.O.O.O.O.[Mg+2].[Cl-].[Cl-],24644,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
magnesium;dichloride;hexahydrate,O.O.O.O.O.O.[Mg+2].[Cl-].[Cl-],24644,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
magnesium;dihydroxide,[OH-].[OH-].[Mg+2],14791,Positive,In Vivo,RAT,WISTAR,sim,Não
Malathion,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,121-75-5,Negative,in vivo,mouse,Swiss,Sim,Não
Malathion,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,121-75-5,Positive,in vivo,mouse,Swiss,Sim,Sim
Malathion,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,121-75-5,Positive,in vivo,mouse,Not reported,Não,Não
Malathion,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,121-75-5,Positive,in vivo,mouse,Não definido,Não,Não
Malathion,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,121-75-5,Positive,in vivo,mouse,Swiss,Sim,Não
Malathion,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,121-75-5,Negative,In vivo,não definido,não definido,Não,Não
Malathion,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,121-75-5,Negative,in vivo,Rat,Sprague-Dawley,Sim,Sim
Malathion,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,121-75-5,Negative,in vivo,Rat,Not reported,Sim,Não
Maleic anhydride,C1=CC(=O)OC1=O,108-31-6,Negative,In vivo,não definido,não definido,Não,Não
MALEIC HYDRAZIDE,C1=CC(=O)NNC1=O,123-33-1,Negative,In vivo,mouse,b6a,Não,Sim
MALEIC HYDRAZIDE,C1=CC(=O)NNC1=O,123-33-1,Negative,In vivo,mouse,b6c,Não,Sim
MALEIC HYDRAZIDE,C1=CC(=O)NNC1=O,123-33-1,Negative,In vivo,mouse,b6a,Sim,Não
MALEIC HYDRAZIDE,C1=CC(=O)NNC1=O,123-33-1,Negative,In vivo,mouse,b6c,Sim,Não
MALEIC HYDRAZIDE,C1=CC(=O)NNC1=O,123-33-1,Negative,In vivo,mouse,cb6,Não,Sim
MALEIC HYDRAZIDE,C1=CC(=O)NNC1=O,123-33-1,Negative,In vivo,mouse,cb6,Sim,Não
Maleic hydrazide,C1=CC(=O)NNC1=O,123-33-1,Negative,In vivo,não definido,não definido,Não,Não
MALEIC HYDRAZIDE,C1=CC(=O)NNC1=O,123-33-1,Negative,In vivo,Rat,nss,Não,Sim
MALEIC HYDRAZIDE,C1=CC(=O)NNC1=O,123-33-1,Negative,In vivo,Rat,nss,Sim,Não
"MALONALDEHYDE, SODIUM SALT",[CH-](C=O)C=O.[Na+],24382-04-05,Negative,In vivo,mouse,swi,Não,Sim
"MALONALDEHYDE, SODIUM SALT",[CH-](C=O)C=O.[Na+],24382-04-05,Positive,In vivo,mouse,swi,Não,Sim
Mandipropamid,Clc1ccc(cc1)C(OCC#C)C(=O)NCCc2ccc(OCC#C)c(OC)c2,374726-62-2,Negative,in vivo,Rat,Wistar,Sim,Não
Maneb,C(CNC(=S)[S-])NC(=S)[S-].[Mn+2],12427-38-2,Negative,In vivo,não definido,não definido,Não,Não
Manganese,[Mn],7439-96-5,Negative,In vivo,não definido,não definido,Não,Não
MANGANESE ETHYLENEBISTHIOCARBAMATE,C(CNC(=S)[S-])NC(=S)[S-].[Mn+2],12427-38-2,Negative,In vivo,mouse,b6a,Não,Sim
MANGANESE ETHYLENEBISTHIOCARBAMATE,C(CNC(=S)[S-])NC(=S)[S-].[Mn+2],12427-38-2,Negative,In vivo,mouse,b6c,Não,Sim
MANGANESE ETHYLENEBISTHIOCARBAMATE,C(CNC(=S)[S-])NC(=S)[S-].[Mn+2],12427-38-2,Negative,In vivo,mouse,b6a,Sim,Não
MANGANESE ETHYLENEBISTHIOCARBAMATE,C(CNC(=S)[S-])NC(=S)[S-].[Mn+2],12427-38-2,Negative,In vivo,mouse,b6c,Sim,Não
MANGANESE ETHYLENEBISTHIOCARBAMATE,C(CNC(=S)[S-])NC(=S)[S-].[Mn+2],12427-38-2,Positive,In vivo,Rat,mgr,Sim,Sim
manganese(2+);sulfate;hydrate,O.[O-]S(=O)(=O)[O-].[Mn+2],177577,Negative,In Vivo,RAT,F344,sim,sim
manganese(2+);sulfate;hydrate,O.[O-]S(=O)(=O)[O-].[Mn+2],177577,Negative,In Vivo,RAT,F344,sim,Não
MANIDIPINE.2HCl,CC1=C(C(C(=C(N1)C)C(=O)OCCN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC.Cl.Cl,89226-75-5,Negative,In vivo,mouse,icm,Não,Sim
MANIDIPINE.2HCl,CC1=C(C(C(=C(N1)C)C(=O)OCCN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC.Cl.Cl,89226-75-5,Negative,In vivo,mouse,icm,Sim,Não
MANIDIPINE.2HCl,CC1=C(C(C(=C(N1)C)C(=O)OCCN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC.Cl.Cl,89226-75-5,Negative,In vivo,Rat,cdr,Não,Sim
MANIDIPINE.2HCl,CC1=C(C(C(=C(N1)C)C(=O)OCCN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC.Cl.Cl,89226-75-5,Negative,In vivo,Rat,cdr,Sim,Não
MeA-alpha-C ACETATE,CC1=CC2=C(NC3=CC=CC=C32)N=C1N.CC(=O)O,117831-29-5,Positive,In vivo,mouse,cdf,Não,Sim
MeA-alpha-C ACETATE,CC1=CC2=C(NC3=CC=CC=C32)N=C1N.CC(=O)O,117831-29-5,Positive,In vivo,mouse,cdf,Sim,Não
MeA-alpha-C ACETATE,CC1=CC2=C(NC3=CC=CC=C32)N=C1N.CC(=O)O,117831-29-5,Positive,In vivo,Rat,f3d,Sim,Não
MeIQ,CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C,77094-11-2,Negative,In vivo,mouse,cdf,Não,Sim
MeIQ,CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C,77094-11-2,Negative,In vivo,mouse,cdf,Sim,Não
MeIQ,CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C,77094-11-2,Positive,In vivo,mouse,cdf,Não,Sim
MeIQ,CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C,77094-11-2,Positive,In vivo,mouse,cdf,Sim,Não
MeIQ,CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C,77094-11-2,Positive,In vivo,mouse,cj5,Não,Sim
MeIQx,CC1=CN=C2C=CC3=C(C2=N1)N=C(N3C)N,77500-04-0,Positive,In vivo,mouse,cdf,Não,Sim
MeIQx,CC1=CN=C2C=CC3=C(C2=N1)N=C(N3C)N,77500-04-0,Positive,In vivo,mouse,cdf,Sim,Não
MeIQx,CC1=CN=C2C=CC3=C(C2=N1)N=C(N3C)N,77500-04-0,Positive,In vivo,Rat,f3d,Não,Sim
MeIQx,CC1=CN=C2C=CC3=C(C2=N1)N=C(N3C)N,77500-04-0,Positive,In vivo,Rat,f3d,Sim,Não
MELOXICAM,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,71125-38-7,Negative,In vivo,Rat,wis,Não,Sim
MELOXICAM,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,71125-38-7,Negative,In vivo,Rat,wis,Sim,Não
MELPHALAN,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,148-82-3,Positive,In vivo,Monkey,cym,Sim,Sim
MELPHALAN,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,148-82-3,Positive,In vivo,mouse,swi,Não,Sim
MELPHALAN,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,148-82-3,Positive,In vivo,mouse,swi,Sim,Não
MELPHALAN,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,148-82-3,Positive,In vivo,Rat,cdr,Não,Sim
MELPHALAN,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,148-82-3,Positive,In vivo,Rat,cdr,Sim,Não
Mepiquat chloride,C[N+]1(CCCCC1)C.[Cl-],24307-26-4,Negative,in vivo,mouse,NMRI,Sim,Não
Mepiquat chloride,C[N+]1(CCCCC1)C.[Cl-],24307-26-4,Negative,In vivo,não definido,não definido,Não,Não
Meptyldinocap,CCCCCCC(C)C1=CC(=CC(=C1OC(=O)C=CC)[N+](=O)[O-])[N+](=O)[O-],131-72-6,Negative,in vivo,mouse,CD-1,Sim,Não
MER-25,CCN(CC)CCOC1=CC=C(C=C1)C(CC2=CC=C(C=C2)OC)(C3=CC=CC=C3)O,67-98-1,Negative,In vivo,Rat,nss,Não,Sim
MERCURIC CHLORIDE,Cl[Hg]Cl,7487-94-7,Negative,In vivo,mouse,cd1,Não,Sim
MERCURIC CHLORIDE,Cl[Hg]Cl,7487-94-7,Negative,In vivo,mouse,cd1,Sim,Não
Mercuric chloride (HgCl2),Cl[Hg]Cl,7487-94-7,Negative,In vivo,não definido,não definido,Não,Não
MERCUROUS CHLORIDE,Cl[Hg],7546-30-7,Negative,In vivo,mouse,bal,Sim,Não
"Mercury, elemental",[Hg],7439-97-6,Negative,In vivo,não definido,não definido,Não,Não
MERCURYMETHYL CHLORIDE,C[Hg]Cl,0115-09-03,Negative,In vivo,mouse,cd1,Não,Sim
MERCURYMETHYL CHLORIDE,C[Hg]Cl,0115-09-03,Negative,In vivo,mouse,cd1,Sim,Não
MERCURYMETHYL CHLORIDE,C[Hg]Cl,0115-09-03,Negative,In vivo,mouse,icm,Não,Sim
MERCURYMETHYL CHLORIDE,C[Hg]Cl,0115-09-03,Positive,In vivo,mouse,b6c,Sim,Não
MERCURYMETHYL CHLORIDE,C[Hg]Cl,0115-09-03,Positive,In vivo,mouse,icm,Sim,Não
MERCURYMETHYL CHLORIDE,C[Hg]Cl,0115-09-03,Negative,In vivo,Rat,wis,Não,Sim
MERCURYMETHYL CHLORIDE,C[Hg]Cl,0115-09-03,Negative,In vivo,Rat,wis,Sim,Não
MERCURYMETHYL CHLORIDE,C[Hg]Cl,0115-09-03,Negative,In vivo,Rat,sda,Não,Sim
MERCURYMETHYL CHLORIDE,C[Hg]Cl,0115-09-03,Negative,In vivo,Rat,sda,Sim,Não
Merphos,CCCCSP(SCCCC)SCCCC,150-50-5,Negative,In vivo,não definido,não definido,Não,Não
Merphos oxide,CCCCSP(=O)(SCCCC)SCCCC,78-48-8,Negative,In vivo,não definido,não definido,Não,Não
Mesotrione,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],104206-82-8,Negative,in vivo,mouse,CD-1,Sim,Sim
Mesotrione,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],104206-82-8,Negative,in vivo,Rat,Alpk:APf SD Rat,Sim,Não
