Chemical,SMILES,Identificador,Results,Type
N-pyren-1-ylacetamide,CC(=O)NC1=C2C=CC3=CC=CC4=C3C2=C(C=C4)C=C1,255653,Negative,In Vivo
N-tert-butyl-N-methylnitrous amide,CC(C)(C)N(C)N=O,2504-18-9,Negative,in vitro
n-TRITRIACONTANE-16-18-DIONE,CCCCCCCCCCCCCCCC(=O)CC(=O)CCCCCCCCCCCCCCC,24514-86-1,Negative,In vivo
N-VINYLPYRROLIDONE-2,C=CN1CCCC1=O,88-12-0,Positive,In vivo
"N,2-dihydroxybenzamide",C1=CC=C(C(=C1)C(=O)NO)O,89-73-6,Positive,in vitro
"N,3-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",C1CN(P(=O)(OC1)NCCCl)CCCl,3690,Negative,In Vivo
"N,3-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",C1CN(P(=O)(OC1)NCCCl)CCCl,3690,Positive,In Vivo
"N,3-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",C1CN(P(=O)(OC1)NCCCl)CCCl,3778-73-2,Positive,in vivo
"N,3-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",C1CN(P(=O)(OC1)NCCCl)CCCl,3778-73-2,Negative,in vitro
"N,3-dimethyl-5-[methyl(nitroso)amino]-N-nitrosoimidazole-4-carboxamide",CN1C=NC(=C1C(=O)N(C)N=O)N(C)N=O,126866,Positive,In Vivo
"N,3-dimethyl-5-[methyl(nitroso)amino]imidazole-4-carboxamide",CNC(=O)C1=C(N=CN1C)N(C)N=O,126865,Positive,In Vivo
"N,4-dimethyl-N-nitrosobenzenesulfonamide",CC1=CC=C(C=C1)S(=O)(=O)N(C)N=O,80-11-5,Positive,in vitro
"N,N-bis(2-chloroethyl)-2-(4-ethoxyphenyl)ethanamine",CCOC1=CC=C(C=C1)CCN(CCCl)CCCl,,Positive,in vitro
"N,N-bis(2-chloroethyl)-2-diethoxyphosphorylethanamine",CCOP(=O)(CCN(CCCl)CCCl)OCC,,Positive,in vitro
"N,N-bis(2-chloroethyl)-2-methoxyethanamine",COCCN(CCCl)CCCl,26112-92-5,Positive,in vitro
"N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-diazaphosphinan-2-amine",C1CNP(=O)(NC1)N(CCCl)CCCl,,Positive,in vitro
"N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",C1CNP(=O)(OC1)N(CCCl)CCCl,2907,Negative,In Vivo
"N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",C1CNP(=O)(OC1)N(CCCl)CCCl,2907,Positive,In Vivo
"N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",C1CNP(=O)(OC1)N(CCCl)CCCl,50-18-0,Positive,in vivo
"N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",C1CNP(=O)(OC1)N(CCCl)CCCl,50-18-0,Negative,in vitro
"N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine;hydrate",C1CNP(=O)(OC1)N(CCCl)CCCl.O,6055-19-2,Positive,in vivo
"N,N-bis(2-chloroethyl)-2-phenylethanamine",C1=CC=C(C=C1)CCN(CCCl)CCCl,,Positive,in vitro
"N,N-bis(2-chloroethyl)-4-hydroperoxy-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",C1COP(=O)(NC1OO)N(CCCl)CCCl,39800-16-3,Positive,in vitro
"N,N-bis(2-chloroethyl)-4-methoxyaniline",COC1=CC=C(C=C1)N(CCCl)CCCl,1448-52-8,Positive,in vitro
"N,N-bis(2-chloroethyl)-4-methylaniline",CC1=CC=C(C=C1)N(CCCl)CCCl,1204-68-8,Positive,in vitro
"N,N-bis(2-chloroethyl)-5,5-dideuterio-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",[2H]C1(CNP(=O)(OC1)N(CCCl)CCCl)[2H],,Positive,in vitro
"N,N-bis(2-chloroethyl)aniline",C1=CC=C(C=C1)N(CCCl)CCCl,553-27-5,Positive,in vitro
"N,N-bis(2-chloroethyl)naphthalen-2-amine",C1=CC=C2C=C(C=CC2=C1)N(CCCl)CCCl,10307,Positive,In Vivo
"N,N-bis(2-chloroethyl)naphthalen-2-amine",C1=CC=C2C=C(C=CC2=C1)N(CCCl)CCCl,0494-03-01,Positive,in vivo
"N,N-bis(2-chloroethyl)naphthalen-2-amine",C1=CC=C2C=C(C=CC2=C1)N(CCCl)CCCl,0494-03-01,Positive,in vitro
"N,N-Bis(2-hydroxyethyl)-p-phenylenediamine sulfate   COLIPA A50",C1=CC(=CC=C1N)N(CCO)CCO.OS(=O)(=O)O,54381-16-7,Positive,in vitro
"N,N-bis(2-hydroxyethyl)dodecanamide",CCCCCCCCCCCC(=O)N(CCO)CCO,8430,Negative,In Vivo
"N,N-bis(2-hydroxyethyl)nitrous amide",C(CO)N(CCO)N=O,14223,Positive,In Vivo
"N,N-bis(2-hydroxyethyl)nitrous amide",C(CO)N(CCO)N=O,1116-54-7,Positive,in vivo
"N,N-bis(2-hydroxypropyl)nitrous amide",CC(CN(CC(C)O)N=O)O,40828,Positive,In Vivo
"N,N-bis(2-oxopropyl)nitrous amide",CC(=O)CN(CC(=O)C)N=O,43371,Positive,In Vivo
"N,N-bis(4,4,4-trifluorobutyl)nitrous amide",C(CC(F)(F)F)CN(CCCC(F)(F)F)N=O,54990,Positive,In Vivo
"N,N-bis(prop-2-enyl)nitrous amide",C=CCN(CC=C)N=O,27821,Positive,In Vivo
"N,N-bis(prop-2-enyl)nitrous amide",C=CCN(CC=C)N=O,16338-97-9,Positive,in vitro
"N,N-dibenzylnitrous amide",C1=CC=C(C=C1)CN(CC2=CC=CC=C2)N=O,5336-53-8,Negative,in vitro
"N,N-dibutylnitrous amide",CCCCN(CCCC)N=O,13542,Positive,In Vivo
"N,N-dibutylnitrous amide",CCCCN(CCCC)N=O,924-16-3,Negative,in vivo
"N,N-dibutylnitrous amide",CCCCN(CCCC)N=O,924-16-3,Positive,in vivo
"N,N-dibutylnitrous amide",CCCCN(CCCC)N=O,924-16-3,Negative,in vitro
"N,N-Dicyclohexylthiourea",C1CCC(CC1)NC(=S)NC2CCCCC2,1212-29-9,Negative,in vitro
"N,N-diethyl-2-[[4-(hydroxymethyl)-9-oxothioxanthen-1-yl]amino]ethanamine oxide",CC[N+](CC)(CCNC1=C2C(=C(C=C1)CO)SC3=CC=CC=C3C2=O)[O-],,Positive,in vitro
"N,N-diethyl-2-[[4-(hydroxymethyl)-9-oxothioxanthen-1-yl]amino]ethanamine oxide;formic acid",CC[N+](CC)(CCNC1=C2C(=C(C=C1)CO)SC3=CC=CC=C3C2=O)[O-].C(=O)O,,Positive,in vitro
"N,N-diethyl-3-methylbenzamide",CCN(CC)C(=O)C1=CC=CC(=C1)C,4284,Negative,In Vivo
"N,N-DIETHYL-4-(4'-[PYRIDYL-1'-OXIDE]AZO)ANILINE",CCN(CC)C1=CC=C(C=C1)N=NC2=CC=[N+](C=C2)[O-],7347-49-1,Positive,In vivo
"N,N-diethyl-4-phenyldiazenylaniline",CCN(CC)C1=CC=C(C=C1)N=NC2=CC=CC=C2,2481-94-9,Negative,in vitro
"N,N-DIETHYL-m-TOLUAMIDE",CCN(CC)C(=O)C1=CC=CC(=C1)C,134-62-3,Negative,In vivo
"N,N-diethylhydroxylamine",CCN(CC)O,3710-84-7,Positive,in vitro
"N,N-diethylnitrous amide",CCN(CC)N=O,5921,Positive,In Vivo
"N,N-diethylnitrous amide",CCN(CC)N=O,5921,Negative,In Vivo
"N,N-diethylnitrous amide",CCN(CC)N=O,55-18-5,Negative,in vivo
"N,N-diethylnitrous amide",CCN(CC)N=O,55-18-5,Positive,in vivo
"N,N-diethylnitrous amide",CCN(CC)N=O,55-18-5,Negative,in vitro
"N,N-dimethyl-1-phenothiazin-10-ylpropan-2-amine;hydrochloride",CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl,6014,Negative,In Vivo
"N,N-dimethyl-10-[3-(4-methylpiperazin-1-yl)propyl]phenothiazine-2-sulfonamide;methanesulfonic acid",CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C.CS(=O)(=O)O.CS(=O)(=O)O,2347-80-0,Negative,in vivo
"N,N-dimethyl-2-phenyldiazenylaniline",CN(C)C1=CC=CC=C1N=NC2=CC=CC=C2,,Positive,in vitro
"N,N-dimethyl-3-[2-(trifluoromethyl)phenothiazin-10-yl]propan-1-amine",CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F,146-54-3,Positive,in vivo
"N,N-dimethyl-3-[2-(trifluoromethyl)phenothiazin-10-yl]propan-1-amine",CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F,146-54-3,Negative,in vitro
"N,N-dimethyl-3-phenothiazin-10-ylpropan-1-amine",CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,58-40-2,Positive,in vitro
"N,N-dimethyl-4-(quinolin-6-yldiazenyl)aniline",CN(C)C1=CC=C(C=C1)N=NC2=CC3=C(C=C2)N=CC=C3,,Positive,in vitro
"N,N-dimethyl-4-[(3-methylphenyl)diazenyl]aniline",CC1=CC(=CC=C1)N=NC2=CC=C(C=C2)N(C)C,55-80-1,Positive,in vivo
"N,N-dimethyl-4-[(3-methylphenyl)diazenyl]aniline",CC1=CC(=CC=C1)N=NC2=CC=C(C=C2)N(C)C,55-80-1,Negative,in vitro
"N,N-dimethyl-4-[(4-methylphenyl)diazenyl]aniline",CC1=CC=C(C=C1)N=NC2=CC=C(C=C2)N(C)C,3010-57-9,Negative,in vitro
"N,N-DIMETHYL-4-AMINOAZOBENZENE",CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,60-11-7,Positive,In vivo
"N,N-Dimethyl-4-aminoazobenzene",CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,60-11-7,Positive,in vitro
"N,N-dimethyl-4-phenyldiazenylaniline",CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,6053,Positive,In Vivo
"N,N-dimethyl-4-phenyldiazenylaniline",CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,6053,Negative,In Vivo
"N,N-dimethyl-4-phenyldiazenylaniline",CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,60-11-7,Negative,in vivo
"N,N-dimethyl-4-phenyldiazenylaniline",CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,60-11-7,Positive,in vivo
"N,N-dimethyl-4-phenyldiazenylaniline",CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,60-11-7,Negative,in vitro
"N,N-dimethyl-N'-[5-[(E)-2-(5-nitrofuran-2-yl)ethenyl]-1,3,4-oxadiazol-2-yl]methanimidamide",CN(C)/C=N/C1=NN=C(O1)/C=C/C2=CC=C(O2)[N+](=O)[O-],25962-77-0,Positive,in vivo
"N,N-dimethyl-N'-[5-[(E)-2-(5-nitrofuran-2-yl)ethenyl]-1,3,4-oxadiazol-2-yl]methanimidamide",CN(C)/C=N/C1=NN=C(O1)/C=C/C2=CC=C(O2)[N+](=O)[O-],9570442,Positive,In Vivo
"N,N-dimethyl-N'-[5-[(E)-2-(5-nitrofuran-2-yl)ethenyl]-1,3,4-oxadiazol-2-yl]methanimidamide",CN(C)/C=N/C1=NN=C(O1)/C=C/C2=CC=C(O2)[N+](=O)[O-],25962-77-0,Positive,in vitro
"N,N-dimethyl-N'-pyridin-2-yl-N'-(thiophen-2-ylmethyl)ethane-1,2-diamine;hydrochloride",CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2.Cl,135-23-9,Negative,in vivo
"N,N-dimethyl-N'-pyridin-2-yl-N'-(thiophen-2-ylmethyl)ethane-1,2-diamine;hydrochloride",CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2.Cl,8667,Negative,In Vivo
"N,N-dimethyl-N'-pyridin-2-yl-N'-(thiophen-2-ylmethyl)ethane-1,2-diamine;hydrochloride",CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2.Cl,8667,Positive,In Vivo
"N,N-dimethyl-N'-pyridin-2-yl-N'-(thiophen-2-ylmethyl)ethane-1,2-diamine;hydrochloride",CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2.Cl,135-23-9,Negative,in vitro
"N,N-dimethylacetamide",CC(=O)N(C)C,31374,Negative,In Vivo
"N,N-dimethylaniline",CN(C)C1=CC=CC=C1,949,Negative,In Vivo
"N,N-dimethylaniline",CN(C)C1=CC=CC=C1,949,Positive,In Vivo
"N,N-dimethylaniline",CN(C)C1=CC=CC=C1,121-69-7,Positive,in vitro
"N,N-dimethylaziridine-1-carboxamide",CN(C)C(=O)N1CC1,,Positive,in vitro
"N,N-dimethylcarbamoyl chloride",CN(C)C(=O)Cl,6598,Positive,In Vivo
"N,N-dimethylcarbamoyl chloride",CN(C)C(=O)Cl,79-44-7,Positive,in vivo
"N,N-dimethylcarbamoyl chloride",CN(C)C(=O)Cl,79-44-7,Negative,in vitro
"N,N-DIMETHYLDODECYLAMINE-N-OXIDE",CCCCCCCCCCCC[N+](C)(C)[O-],1643-20-5,Negative,In vivo
"N,N-dimethylformamide",CN(C)C=O,6228,Negative,In Vivo
"N,N-dimethylformamide",CN(C)C=O,68-12-2,Negative,in vivo
"N,N-dimethylformamide",CN(C)C=O,68-12-2,Negative,in vitro
"N,N-dimethylnitramide",CN(C)[N+](=O)[O-],20120,Positive,In Vivo
"N,N-dimethylnitrous amide",CN(C)N=O,62-75-9,Positive,in vivo
"N,N-dimethylnitrous amide",CN(C)N=O,6124,Positive,In Vivo
"N,N-dimethylnitrous amide",CN(C)N=O,6124,Negative,In Vivo
"N,N-dimethylnitrous amide",CN(C)N=O,62-75-9,Negative,in vivo
"N,N-dimethylnitrous amide",CN(C)N=O,62-75-9,Positive,in vitro
"N,N-DINITROSOPENTAMETHYLENETETRAMINE",C1N2CN(CN1CN(C2)N=O)N=O,101-25-7,Negative,In vivo
"N,N-dipentylnitrous amide",CCCCCN(CCCCC)N=O,252237,Positive,In Vivo
"N,N-dipentylnitrous amide",CCCCCN(CCCCC)N=O,13256-06-09,Positive,in vitro
"N,N-diphenylnitrous amide",C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,6838,Negative,In Vivo
"N,N-diphenylnitrous amide",C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,86-30-6,Negative,in vivo
"N,N-diphenylnitrous amide",C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,86-30-6,Positive,in vivo
"N,N-diphenylnitrous amide",C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,6838,Positive,In Vivo
"N,N-diphenylnitrous amide",C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,86-30-6,Negative,in vitro
"N,N-dipropylnitrous amide",CCCN(CCC)N=O,12130,Positive,In Vivo
"N,N-dipropylnitrous amide",CCCN(CCC)N=O,621-64-7,Positive,in vivo
"N,N-dipropylnitrous amide",CCCN(CCC)N=O,621-64-7,Positive,in vitro
"N,N,3-trimethyl-4-phenyldiazenylaniline",CC1=C(C=CC(=C1)N(C)C)N=NC2=CC=CC=C2,54-88-6,Positive,in vivo
"N,N,3-trimethyl-4-phenyldiazenylaniline",CC1=C(C=CC(=C1)N(C)C)N=NC2=CC=CC=C2,54-88-6,Negative,in vitro
"N,N,3-tris(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",C1CN(P(=O)(OC1)N(CCCl)CCCl)CCCl,22089-22-1,Negative,in vitro
"N,N,N',N'-tetramethyl-1,1-diphenylmethanediamine",CN(C)C(C1=CC=CC=C1)(C2=CC=CC=C2)N(C)C,19111-89-8,Negative,in vitro
"N,N'-[6-(5-Nitro-2-furyl)-s-triazine-2,4-diyl]
bisacetamide",CC(=O)NC1=NC(=NC(=N1)C2=CC=C(O2)[N+](=O)[O-])NC(=O)C,51325-35-0,Positive,in vitro
"N,N'-[6-(5-NITRO-2-FURYL)-s-TRIAZINE-2,4-DIYL]BISACETAMIDE",CC(=O)NC1=NC(=NC(=N1)C2=CC=C(O2)[N+](=O)[O-])NC(=O)C,51325-35-0,Positive,In vivo
"N,N'-bis(1,3,4-thiadiazol-2-yl)methanediamine",C1=NN=C(S1)NCNC2=NN=CS2,26907-37-9,Positive,in vitro
"N,N'-Bis(hydroxyethyl)-2-nitro-p-phenylenediamine COLIPA B034",C1=CC(=C(C=C1NCCO)[N+](=O)[O-])NCCO,84041-77-0,Positive,in vitro
"N,N'-Diacetylbenzidine",CC(=O)NC1=CC=C(C=C1)C2=CC=C(C=C2)NC(=O)C,613-35-4,Positive,in vitro
"N,N'-dimethyl-N,N'-dinitrosooxamide",CN(C(=O)C(=O)N(C)N=O)N=O,7601-87-8,Positive,in vitro
"N,N'-DIMETHYL-N,N'-DINITROSOPHTHALAMIDE",CN(C(=O)C1=CC=CC=C1C(=O)N(C)N=O)N=O,3851-16-9,Negative,In vivo
"N'-(2-butoxy-7-chlorobenzo[b][1,5]naphthyridin-10-yl)-N-(2-chloroethyl)propane-1,3-diamine;dihydrochloride",CCCCOC1=NC2=C(C3=C(C=C(C=C3)Cl)N=C2C=C1)NCCCNCCCl.Cl.Cl,,Positive,in vitro
"N'-(2-chloroethyl)-N-(6-chloro-2-methoxyacridin-9-yl)-N'-ethylpropane-1,3-diamine;dihydrochloride",CCN(CCCNC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC)CCCl.Cl.Cl,146-59-8,Positive,in vivo
"N'-(2-chloroethyl)-N-(6-chloro-2-methoxyacridin-9-yl)-N'-ethylpropane-1,3-diamine;dihydrochloride",CCN(CCCNC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC)CCCl.Cl.Cl,146-59-8,Positive,in vitro
"N'-(2-chloroethyl)-N-(7-chloroquinolin-4-yl)-N'-ethylpropane-1,3-diamine;dihydrochloride",CCN(CCCNC1=C2C=CC(=CC2=NC=C1)Cl)CCCl.Cl.Cl,,Positive,in vitro
"N'-(2-chloroethyl)-N'-ethyl-N-(6-methoxyquinolin-4-yl)propane-1,3-diamine;dihydrochloride",CCN(CCCNC1=C2C=C(C=CC2=NC=C1)OC)CCCl.Cl.Cl,,Positive,in vitro
"N'-(2-chloroethyl)-N'-ethylpropane-1,3-diamine;dihydrochloride",CCN(CCCN)CCCl.Cl.Cl,,Positive,in vitro
"N'-(2,4-dimethylphenyl)-N-[(2,4-dimethylphenyl)iminomethyl]-N-methylmethanimidamide",CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C,36324,Negative,In Vivo
"N'-(2,4-dimethylphenyl)-N-[(2,4-dimethylphenyl)iminomethyl]-N-methylmethanimidamide",CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C,36324,Positive,In Vivo
"N'-(4-chloro-2-methylphenyl)-N,N-dimethylmethanimidamide",CC1=C(C=CC(=C1)Cl)N=CN(C)C,6164-98-3,Negative,in vitro
"N'-[(4-methoxyphenyl)methyl]-N,N-dimethyl-N'-pyridin-2-ylethane-1,2-diamine;hydrochloride",CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2.Cl,80139,Negative,In Vivo
N'-ACETYL-4-(HYDROXYMETHYL)PHENYLHYDRAZINE,CC(=O)NNC1=CC=C(C=C1)CO,65734-38-5,Negative,In vivo
N'-ACETYL-4-(HYDROXYMETHYL)PHENYLHYDRAZINE,CC(=O)NNC1=CC=C(C=C1)CO,65734-38-5,Positive,In vivo
"N'-acridin-9-yl-N-(2-chloroethyl)propane-1,3-diamine;hydrate;dihydrochloride",C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NCCCNCCCl.O.Cl.Cl,,Positive,in vitro
"N'-benzo[c]acridin-7-yl-N-(2-chloroethyl)ethane-1,2-diamine;hydrate;dihydrochloride",C1=CC=C2C(=C1)C=CC3=C(C4=CC=CC=C4N=C32)NCCNCCCl.O.Cl.Cl,,Positive,in vitro
"N'-benzyl-5-methyl-1,2-oxazole-3-carbohydrazide",CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2,59-63-2,Positive,in vivo
"N'-benzyl-N,N-dimethyl-N'-pyridin-2-ylethane-1,2-diamine;hydrochloride",CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2.Cl,9066,Negative,In Vivo
N'-hydroxy-5-nitrofuran-2-carboximidamide,C1=C(OC(=C1)[N+](=O)[O-])/C(=N/O)/N,772-43-0,Positive,in vitro
N'-hydroxymethanimidamide,C(=N/O)\N,624-82-8,Positive,in vitro
"N'-naphthalen-1-ylethane-1,2-diamine;dihydrochloride",C1=CC=C2C(=C1)C=CC=C2NCCN.Cl.Cl,15106,Negative,In Vivo
"N'-naphthalen-1-ylethane-1,2-diamine;dihydrochloride",C1=CC=C2C(=C1)C=CC=C2NCCN.Cl.Cl,1465-25-4,Negative,in vivo
N'-NITROSONORNICOTINE,C1CC(N(C1)N=O)C2=CN=CC=C2,53759-22-1,Positive,In vivo
N'-NITROSONORNICOTINE-1-N-OXIDE,C1CC(N(C1)N=O)C2=C[N+](=CC=C2)[O-],78246-24-9,Negative,In vivo
N'-NITROSONORNICOTINE-1-N-OXIDE,C1CC(N(C1)N=O)C2=C[N+](=CC=C2)[O-],78246-24-9,Positive,In vivo
N'-propan-2-ylpyridine-4-carbohydrazide,CC(C)NNC(=O)C1=CC=NC=C1,54-92-2,Positive,in vivo
N2-gamma-GLUTAMYL-p-HYDRAZINOBENZOIC ACID,C1=CC(=CC=C1C(=O)O)NNC(=O)CCC(C(=O)O)N,---,Positive,In vivo
"N7-Methyldibenzo[c,g]carbazole (NMDBC)",CN1C2=C(C3=CC=CC=C3C=C2)C4=C1C=CC5=CC=CC=C54,27093-62-5,Positive,in vitro
NAFENOPIN,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CCCC3=CC=CC=C23,3771-19-5,Negative,In vivo
NAFENOPIN,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CCCC3=CC=CC=C23,3771-19-5,Positive,In vivo
Naled,COP(=O)(OC)OC(C(Cl)(Cl)Br)Br,300-76-5,Negative,In vivo
NALIDIXIC ACID,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,389-08-2,Negative,In vivo
Nalidixic acid,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,0389-08-02,Positive,in vitro
naphthalen-1-amine,C1=CC=C2C(=C1)C=CC=C2N,8640,Negative,In Vivo
naphthalen-1-amine,C1=CC=C2C(=C1)C=CC=C2N,134-32-7,Negative,in vivo
naphthalen-1-amine,C1=CC=C2C(=C1)C=CC=C2N,134-32-7,Negative,in vitro
naphthalen-1-amine;hydrochloride,C1=CC=C2C(=C1)C=CC=C2N.Cl,552-46-5,Positive,in vitro
naphthalen-1-ol,C1=CC=C2C(=C1)C=CC=C2O,90-15-3,Negative,in vitro
naphthalen-1-yl N-methyl-N-nitrosocarbamate,CN(C(=O)OC1=CC=CC2=CC=CC=C21)N=O,23493,Positive,In Vivo
naphthalen-1-yl N-methyl-N-nitrosocarbamate,CN(C(=O)OC1=CC=CC2=CC=CC=C21)N=O,7090-25-7,Positive,in vitro
naphthalen-1-yl N-methylcarbamate,CNC(=O)OC1=CC=CC2=CC=CC=C21,6129,Negative,In Vivo
naphthalen-1-yl N-methylcarbamate,CNC(=O)OC1=CC=CC2=CC=CC=C21,6129,Positive,In Vivo
naphthalen-1-yl N-methylcarbamate,CNC(=O)OC1=CC=CC2=CC=CC=C21,63-25-2,Negative,in vitro
naphthalen-1-ylthiourea,C1=CC=C2C(=C1)C=CC=C2NC(=S)N,86-88-4,Positive,in vitro
naphthalen-2-amine,C1=CC=C2C=C(C=CC2=C1)N,7057,Positive,In Vivo
naphthalen-2-amine,C1=CC=C2C=C(C=CC2=C1)N,91-59-8,Negative,in vivo
naphthalen-2-amine,C1=CC=C2C=C(C=CC2=C1)N,91-59-8,Positive,in vivo
naphthalen-2-amine,C1=CC=C2C=C(C=CC2=C1)N,91-59-8,Negative,in vitro
naphthalen-2-ol,C1=CC=C2C=C(C=CC2=C1)O,135-19-3,Negative,in vitro
naphthalen-2-ylazanium;chloride,C1=CC=C2C=C(C=CC2=C1)[NH3+].[Cl-],612-52-2,Positive,in vitro
naphthalene,C1=CC=C2C=CC=CC2=C1,931,Negative,In Vivo
naphthalene,C1=CC=C2C=CC=CC2=C1,931,Positive,In Vivo
Naphthalene,C1=CC=C2C=CC=CC2=C1,91-20-3,Negative,In vivo
Naphthalene,C1=CC=C2C=CC=CC2=C1,91-20-3,Positive,in vitro
naphthalene-1-carbonitrile,C1=CC=C2C(=C1)C=CC=C2C#N,86-53-3,Positive,in vitro
"naphthalene-1,5-diamine",C1=CC2=C(C=CC=C2N)C(=C1)N,16720,Positive,In Vivo
"naphthalene-1,5-diamine",C1=CC2=C(C=CC=C2N)C(=C1)N,2243-62-1,Positive,in vivo
"naphthalene-1,5-diamine",C1=CC2=C(C=CC=C2N)C(=C1)N,16720,Negative,In Vivo
naphthalene-2-carbonitrile,C1=CC=C2C=C(C=CC2=C1)C#N,613-46-7,Positive,in vitro
"naphtho[1,2-b][1]benzothiole",C1=CC=C2C(=C1)C=CC3=C2SC4=CC=CC=C34,9198,Positive,In Vivo
"naphtho[1,2-b]phenanthren-5-ol",C1=CC=C2C(=C1)C=CC3=CC4=C(C=C32)C=C(C5=CC=CC=C54)O,,Negative,in vitro
"naphtho[1,2-b]phenanthrene",C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,5889,Positive,In Vivo
"naphtho[1,2-b]phenanthrene",C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,53-70-3,Positive,in vivo
"naphtho[1,2-b]phenanthrene",C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,53-70-3,Positive,in vitro
Napropamide,CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C21,15299-99-7,Negative,in vivo
Napropamide,CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C21,15299-99-7,Positive,in vivo
Napropamide,CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C21,15299-99-7,Negative,in vitro
NEFIRACETAM,CC1=C(C(=CC=C1)C)NC(=O)CN2CCCC2=O,77191-36-7,Negative,In vivo
nickel,[Ni],935,Positive,In Vivo
nickel,[Ni],7440-02-0,Positive,in vivo
NICKEL,[Ni],7440-02-0,Negative,In vivo
NICKEL (II) ACETATE,CC(=O)[O-].CC(=O)[O-].[Ni+2],373-02-4,Negative,In vivo
Nickel carbonyl,[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Ni],13463-39-3,Negative,In vivo
NICKEL DIBUTYLDITHIOCARBAMATE,CCCCN(CCCC)C(=S)[S-].CCCCN(CCCC)C(=S)[S-].[Ni+2],13927-77-0,Negative,In vivo
Nickel II sulfate hexahydrate,O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Ni+2],10101-97-0,Positive,in vitro
Nickel subsulfide,[S-2].[S-2].[Ni].[Ni+2].[Ni+2],12035-72-2,Positive,In vivo
nickel;(sulfanylidene-lambda4-sulfanylidene)nickel,S=S=[Ni].[Ni].[Ni],22833473,Negative,In Vivo
